                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2141,                 1.8506,                 1.3201,                 0.8929,                 0.6875,                0.85301,                0.51953,                 1.0176,                  2.561,                 1.3256,                0.00048,                0.00048,                0.00048
                      2,                  1.199,                 1.3923,                 1.3154,                0.79482,                  0.875,                0.91774,                0.66217,                0.85693,                  2.023,                 1.2308,             0.00094766,             0.00094766,             0.00094766
                      3,                 1.2639,                 1.3779,                 1.3527,                0.81228,                  0.875,                0.90736,                0.61382,                0.88076,                 2.1177,                 1.4018,              0.0013823,              0.0013823,              0.0013823
                      4,                 1.2386,                 1.3341,                 1.3439,                0.98398,                 0.9375,                  0.983,                 0.6336,                0.90379,                 1.9826,                 1.4452,               0.001784,               0.001784,               0.001784
                      5,                  1.255,                 1.3346,                 1.3632,                0.83328,                0.93713,                 0.9123,                0.55365,                 1.0549,                 1.9278,                 1.6592,               0.001736,               0.001736,               0.001736
                      6,                 1.2801,                 1.3019,                 1.3679,                0.78677,                0.92303,                0.88364,                0.52855,                 1.3115,                 1.7945,                 1.8325,                0.00167,                0.00167,                0.00167
                      7,                 1.2463,                 1.2483,                 1.3529,                0.79581,                 0.8125,                0.89386,                 0.5481,                 1.1306,                 1.6897,                 1.5905,               0.001604,               0.001604,               0.001604
                      8,                 1.2158,                 1.2479,                 1.3384,                 0.7686,                 0.8125,                0.90433,                  0.574,                 1.0745,                 1.7862,                  1.435,               0.001538,               0.001538,               0.001538
                      9,                  1.214,                 1.2538,                 1.3455,                0.91494,                   0.75,                0.89366,                 0.4701,                 1.0549,                 1.8187,                 1.3894,               0.001472,               0.001472,               0.001472
                     10,                 1.2011,                 1.1777,                 1.3258,                0.73439,                0.86453,                0.84541,                0.58937,                0.88823,                 1.3371,                 1.2911,               0.001406,               0.001406,               0.001406
                     11,                 1.1926,                 1.1698,                 1.3173,                0.75878,                      1,                0.92135,                0.61705,                0.90034,                 1.1166,                 1.3259,                0.00134,                0.00134,                0.00134
                     12,                 1.1917,                 1.1606,                 1.3189,                0.83021,                 0.9176,                0.88899,                0.68274,                0.85586,                  1.035,                 1.2465,               0.001274,               0.001274,               0.001274
                     13,                 1.1596,                 1.1376,                 1.2928,                 0.7695,                0.83541,                0.84799,                0.65913,                0.74892,                   1.11,                 1.2075,               0.001208,               0.001208,               0.001208
                     14,                 1.1432,                 1.0874,                 1.2946,                0.77249,                 0.9375,                0.92496,                0.66237,                0.84916,                 1.0133,                 1.2471,               0.001142,               0.001142,               0.001142
                     15,                 1.1324,                  1.074,                 1.2611,                0.80717,                 0.9375,                 0.9015,                0.61897,                0.93503,                  1.099,                 1.3028,               0.001076,               0.001076,               0.001076
                     16,                 1.1242,                 1.0428,                 1.2608,                0.92625,                 0.9375,                 0.9572,                0.69676,                0.82909,                 0.9984,                 1.2376,                0.00101,                0.00101,                0.00101
                     17,                 1.0981,                 1.0096,                 1.2513,                0.86904,                 0.9375,                0.95594,                0.71841,                0.88649,                0.88674,                 1.3372,               0.000944,               0.000944,               0.000944
                     18,                  1.098,                 1.0552,                 1.2678,                0.87335,                 0.9375,                 0.9734,                0.67819,                0.94014,                0.96301,                 1.3303,               0.000878,               0.000878,               0.000878
                     19,                 1.0949,                  1.046,                 1.2567,                0.92941,                 0.9375,                0.97925,                  0.674,                0.99309,                0.80739,                 1.4648,               0.000812,               0.000812,               0.000812
                     20,                 1.1006,                 1.0102,                 1.2585,                0.89296,                 0.9375,                0.93237,                0.66915,                0.90451,                0.87186,                 1.3762,               0.000746,               0.000746,               0.000746
                     21,                 1.0029,                0.98792,                 1.2324,                0.88186,                0.93331,                0.96727,                0.67316,                0.86197,                0.94924,                 1.3152,                0.00068,                0.00068,                0.00068
                     22,                0.98493,                0.90592,                 1.2124,                0.96745,                 0.9375,                0.98071,                0.73614,                0.77077,                0.87265,                 1.2517,               0.000614,               0.000614,               0.000614
                     23,                0.92661,                0.84411,                 1.1732,                0.92446,                 0.9375,                0.98178,                0.72404,                0.76299,                0.83092,                 1.2125,               0.000548,               0.000548,               0.000548
                     24,                0.93932,                0.84465,                 1.1694,                      1,                0.92515,                0.98553,                0.77037,                0.72239,                0.77015,                 1.1703,               0.000482,               0.000482,               0.000482
                     25,                0.90182,                 0.8064,                 1.1525,                0.97352,                 0.9375,                0.98071,                 0.7858,                0.64602,                0.78106,                 1.1012,               0.000416,               0.000416,               0.000416
                     26,                0.92297,                0.82453,                  1.179,                 0.9938,                 0.9375,                0.98833,                0.72883,                0.76531,                0.76524,                 1.2682,                0.00035,                0.00035,                0.00035
                     27,                 0.9251,                0.82701,                 1.1557,                0.99107,                 0.9375,                0.98833,                0.77829,                0.75285,                0.74893,                 1.2408,               0.000284,               0.000284,               0.000284
                     28,                0.91427,                0.80272,                 1.1685,                0.98988,                 0.9375,                0.98833,                0.78492,                0.73122,                  0.692,                 1.2052,               0.000218,               0.000218,               0.000218
                     29,                0.87467,                 0.7651,                 1.1418,                0.98923,                 0.9375,                0.98833,                0.79457,                0.69243,                0.67905,                 1.1559,               0.000152,               0.000152,               0.000152
                     30,                 0.8571,                0.77079,                 1.1184,                0.98995,                 0.9375,                0.98833,                0.78767,                0.70984,                0.67059,                 1.1652,                8.6e-05,                8.6e-05,                8.6e-05
